reference,protocol,seed,role,cycle,event_time,reference_event_time,timing,recall,precision,mass_ratio,recovery,peak_roi,peak_full,peak_outside,reference_mass,predicted_mass,overlap_mass
spatial,original,-,B_E,1,0.2558714285714286,0.2409,0.01497142857142858,0.7991756354476759,0.9797866367209431,0.8156629264941611,1.0,0.05965909090909091,0.018046875,0.0,0.0006823437499999996,0.0005565624999999999,0.0005453124999999998
spatial,original,-,B_E,2,1.5133714285714286,1.4997666666666667,0.013604761904761897,0.7829733163913597,0.9870254685247479,0.7932655654383735,1.0,0.05371900826446281,0.01625,0.0,0.00061484375,0.000487734375,0.0004814062500000001
spatial,shorter,29,E,1,0.23726666666666668,0.2409,0.0036333333333333218,0.8727959697732999,0.9553828800601579,0.9135562170826655,1.0,0.06714876033057851,0.0203125,0.0,0.0006823437499999996,0.0006233593749999997,0.0005955468749999997
spatial,shorter,29,E,2,1.224025,1.2293,0.005275000000000141,0.9657474852584116,0.8773436269103515,1.1007630939993063,1.0,0.07799586776859505,0.02359375,0.0,0.0009009374999999999,0.00099171875,0.0008700781250000001
spatial,shorter,29,F,1,0.22393333333333335,0.2409,0.016966666666666658,0.8379894664529431,0.8500580720092921,0.9858026104877491,1.0,0.060950413223140494,0.0184375,0.0,0.0006823437499999996,0.0006726562499999996,0.000571796875
spatial,shorter,29,F,2,1.2276375,1.2293,0.0016625000000001222,0.9620187304890742,0.872993389990557,1.1019771071800213,1.0,0.08006198347107438,0.02421875,0.0,0.0009009374999999999,0.0009928125000000004,0.0008667187500000002
spatial,shorter,43,E,1,0.23711000000000002,0.2409,0.003789999999999988,0.8772612777650562,0.9338208409506399,0.9394321044195101,1.0,0.0699896694214876,0.021171875,0.0,0.0006823437499999996,0.0006410156249999997,0.0005985937499999997
spatial,shorter,43,E,2,1.22236,1.2293,0.006940000000000168,0.9643600416233091,0.8820590101522843,1.0933055844606314,1.0,0.07902892561983471,0.02390625,0.0,0.0009009374999999999,0.000985,0.000868828125
spatial,shorter,43,F,1,0.21036666666666667,0.2409,0.03053333333333333,0.8731394550034351,0.7927234927234927,1.1014426379665678,1.0,0.06327479338842976,0.019140625,0.0,0.0006823437499999996,0.0007515624999999998,0.0005957812499999998
spatial,shorter,43,F,2,1.24922,1.2293,0.019919999999999938,0.8155567117585851,0.9414414414414414,0.8662851196670139,1.0,0.07773760330578512,0.023515625,0.0,0.0009009374999999999,0.0007804687500000003,0.0007347656250000003
spatial,shorter,-,B_E,1,0.2558714285714286,0.2409,0.01497142857142858,0.7991756354476759,0.9797866367209431,0.8156629264941611,1.0,0.05965909090909091,0.018046875,0.0,0.0006823437499999996,0.0005565624999999999,0.0005453124999999998
spatial,shorter,-,B_E,2,1.2481,1.2293,0.018799999999999928,0.7820846340617417,0.9913167729171248,0.7889351370100594,1.0,0.06430785123966942,0.019453125,0.0,0.0009009374999999999,0.0007107812500000003,0.0007046093750000004
spatial,shorter,29,E_C,1,0.23622,0.2409,0.00467999999999999,0.8858484085184338,0.9435365853658538,0.9388596290359514,1.0,0.06740702479338843,0.020390625,0.0,0.0006823437499999996,0.0006406249999999996,0.0006044531249999997
spatial,shorter,29,E_C,2,1.2252750000000001,1.2293,0.004024999999999945,0.9674817898022895,0.8996129656507014,1.0754422476586891,1.0,0.07722107438016529,0.023359375,0.0,0.0009009374999999999,0.0009689062500000003,0.0008716406250000001
spatial,shorter,29,E_R,1,0.23518333333333336,0.2409,0.005716666666666648,0.887794824822533,0.9389682731896346,0.9455003434852303,1.0,0.0684400826446281,0.020703125,0.0,0.0006823437499999996,0.0006451562499999997,0.0006057812499999999
spatial,shorter,29,E_R,2,1.226525,1.2293,0.002774999999999972,0.9658342004856055,0.8998949664700656,1.0732743669788416,1.0,0.07799586776859505,0.02359375,0.0,0.0009009374999999999,0.000966953125,0.0008701562500000002
spatial,shorter,29,E_I,1,0.239025,0.2409,0.0018750000000000155,0.8693611174719491,0.9581072555205048,0.9073734829402338,1.0,0.0668904958677686,0.020234375,0.0,0.0006823437499999996,0.0006191406249999998,0.0005932031249999999
spatial,shorter,29,E_I,2,1.2252750000000001,1.2293,0.004024999999999945,0.9632327436697887,0.899214765643973,1.0711932015261885,1.0,0.07722107438016529,0.023359375,0.0,0.0009009374999999999,0.0009650781250000004,0.0008678125000000002
