reference,reader,protocol,seed,comparison,metric,candidate_error,control_error,signed_candidate_minus_control,difference_percentage_points,relative_error_reduction
old,coarse,shorter,43,E_vs_F,EV,0.0010802508400533871,0.004585264153895475,-0.0035050133138420877,,0.7644081553871558
old,coarse,shorter,43,E_vs_F,EI,0.006821188750453961,0.029917345965851373,-0.02309615721539741,-2.3096157215397413,0.7719988678728424
old,coarse,shorter,43,E_vs_F,bottom_current_NRMSE,0.006821188750454754,0.029917345965852445,-0.023096157215397692,-2.3096157215397692,0.7719988678728242
old,coarse,shorter,43,E_vs_F,power_trace_NRMSE,0.006727584643777657,0.03094686326770039,-0.024219278623922733,-2.4219278623922733,0.7826085123528717
old,coarse,shorter,43,E_vs_F,energy_error,0.0016271789511990613,0.002573604184872598,-0.0009464252336735366,-0.09464252336735365,0.36774312042097795
old,coarse,shorter,43,E_vs_F,local_joule_NRMSE,0.04770874623981139,0.14365656952342049,-0.0959478232836091,,0.6678972190545496
old,coarse,shorter,43,E_vs_B_E,S,0.0010735156249999998,0.0015754687500000003,-0.0005019531250000004,,0.31860557373797505
old,coarse,shorter,43,E_vs_B_E,Ephi,0.018619221717954475,0.02552352964250399,-0.006904307924549515,,0.27050756777196927
old,coarse,shorter,43,E_vs_B_E,ET,0.010960980041449084,0.012800189053165364,-0.0018392090117162804,-0.18392090117162804,0.14368608182872591
old,coarse,shorter,43,E_vs_B_E,EV,0.0010802508400533871,0.003005663306483679,-0.001925412466430292,,0.6405948604678643
old,coarse,shorter,43,E_vs_B_E,EI,0.006821188750453961,0.020031855675185353,-0.013210666924731392,-1.3210666924731391,0.6594829325321182
old,coarse,shorter,43,E_vs_B_E,bottom_current_NRMSE,0.006821188750454754,0.020031855675185704,-0.013210666924730951,-1.3210666924730952,0.6594829325320847
old,coarse,shorter,43,E_vs_B_E,power_trace_NRMSE,0.006727584643777657,0.020489387231699213,-0.013761802587921555,-1.3761802587921554,0.6716551565110066
old,coarse,shorter,43,E_vs_B_E,energy_error,0.0016271789511990613,0.015059309720727837,-0.013432130769528774,-1.3432130769528774,0.8919486363336169
old,coarse,shorter,43,E_vs_B_E,local_joule_NRMSE,0.04770874623981139,0.1133849836004611,-0.06567623736064972,,0.5792322340679213
old,coarse,shorter,43,E_vs_D_E,S,0.0010735156249999998,0.0010828125,-9.29687500000019e-06,,0.00858585858585876
old,coarse,shorter,43,E_vs_D_E,Ephi,0.018619221717954475,0.0185697479002711,4.9473817683377136e-05,,-0.0026642159036878938
old,coarse,shorter,43,E_vs_D_E,ET,0.010960980041449084,0.010868800491784725,9.217954966435869e-05,0.00921795496643587,-0.008481115255913786
old,coarse,shorter,43,E_vs_D_E,EV,0.0010802508400533871,0.001010674376087227,6.957646396616021e-05,,-0.06884162259611434
old,coarse,shorter,43,E_vs_D_E,EI,0.006821188750453961,0.006344564455702311,0.00047662429475164945,0.04766242947516494,-0.07512324889745163
old,coarse,shorter,43,E_vs_D_E,bottom_current_NRMSE,0.006821188750454754,0.006344564455700387,0.0004766242947543669,0.04766242947543669,-0.07512324889790273
old,coarse,shorter,43,E_vs_D_E,power_trace_NRMSE,0.006727584643777657,0.006127244448712128,0.0006003401950655293,0.060034019506552926,-0.09797882230595736
old,coarse,shorter,43,E_vs_D_E,energy_error,0.0016271789511990613,0.0007076818925486962,0.0009194970586503651,0.09194970586503651,-1.2993084439942677
old,coarse,shorter,43,E_vs_D_E,local_joule_NRMSE,0.04770874623981139,0.047444145863793204,0.0002646003760181856,,-0.005577092203911173
old,coarse,shorter,43,D_E_vs_E,S,0.0010828125,0.0010735156249999998,9.29687500000019e-06,,-0.008660213958227383
old,coarse,shorter,43,D_E_vs_E,Ephi,0.0185697479002711,0.018619221717954475,-4.9473817683377136e-05,,0.0026571367177860954
old,coarse,shorter,43,D_E_vs_E,ET,0.010868800491784725,0.010960980041449084,-9.217954966435869e-05,-0.00921795496643587,0.008409790850433134
old,coarse,shorter,43,D_E_vs_E,EV,0.001010674376087227,0.0010802508400533871,-6.957646396616021e-05,,0.06440769253437624
old,coarse,shorter,43,D_E_vs_E,EI,0.006344564455702311,0.006821188750453961,-0.00047662429475164945,-0.04766242947516494,0.06987408092466718
old,coarse,shorter,43,D_E_vs_E,bottom_current_NRMSE,0.006344564455700387,0.006821188750454754,-0.0004766242947543669,-0.04766242947543669,0.06987408092505744
old,coarse,shorter,43,D_E_vs_E,power_trace_NRMSE,0.006127244448712128,0.006727584643777657,-0.0006003401950655293,-0.060034019506552926,0.08923562123009242
old,coarse,shorter,43,D_E_vs_E,energy_error,0.0007076818925486962,0.0016271789511990613,-0.0009194970586503651,-0.09194970586503651,0.5650866230618283
old,coarse,shorter,43,D_E_vs_E,local_joule_NRMSE,0.047444145863793204,0.04770874623981139,-0.0002646003760181856,,0.0055461607540083545
old,coarse,shorter,43,D_E_vs_F,S,0.0010828125,0.001197734375,-0.000114921875,,0.09594938360185246
old,coarse,shorter,43,D_E_vs_F,Ephi,0.0185697479002711,0.0233632244353989,-0.004793476535127801,,0.20517187378746157
old,coarse,shorter,43,D_E_vs_F,ET,0.010868800491784725,0.0114088216040331,-0.0005400211122483754,-0.05400211122483754,0.04733364505037699
