intent,configuration,time,roi_phase_fraction,roi_temperature_max
5,Fine,0.1,0,0.777683640609
5,Fine,0.1025,0,0.792192756763
5,Fine,0.105,0,0.806383152975
5,Fine,0.1075,0,0.820270320486
5,Fine,0.11,0,0.833868069644
5,Fine,0.1125,0,0.84718867847
5,Fine,0.115,0,0.860243006215
5,Fine,0.1175,0,0.8730405757
5,Fine,0.12,0,0.885589626788
5,Fine,0.1225,0,0.897897142083
5,Fine,0.125,0,0.909968844813
5,Fine,0.1275,0,0.921809167746
5,Fine,0.13,0,0.933421190876
5,Fine,0.1325,0,0.944806544373
5,Fine,0.135,0,0.955965271987
5,Fine,0.1375,0,0.966895648576
5,Fine,0.14,0,0.977593943726
5,Fine,0.1425,0,0.988054121504
5,Fine,0.145,0,0.998267464617
5,Fine,0.1475,0,1.00822210883
5,Fine,0.15,0,1.01790247313
5,Fine,0.1525,0,1.02728857124
5,Fine,0.155,0,1.03635519488
5,Fine,0.1575,0,1.04507097157
5,Fine,0.16,0,1.05339732476
5,Fine,0.1625,0,1.06128741039
5,Fine,0.165,0,1.06868517942
5,Fine,0.1675,0,1.0755248252
5,Fine,0.17,0,1.0817310111
5,Fine,0.1725,0,1.0872204112
5,Fine,0.175,0,1.09190514276
5,Fine,0.1775,0,1.09569857016
5,Fine,0.18,0,1.098523543
5,Fine,0.1825,0,1.10032243092
5,Fine,0.185,0,1.1010674475
5,Fine,0.1875,0,1.10076907417
5,Fine,0.19,0.000918273645546,1.09948032433
5,Fine,0.1925,0.00183654729109,1.09729535931
5,Fine,0.195,0.00275482093664,1.09434239648
5,Fine,0.1975,0.00459136822773,1.09077236181
5,Fine,0.2,0.00550964187328,1.08674570106
5,Fine,0.2025,0.00642791551882,1.08241985554
5,Fine,0.205,0.00826446280992,1.07793926193
5,Fine,0.2075,0.010101010101,1.07342876086
5,Fine,0.21,0.0128558310376,1.06899040535
5,Fine,0.2125,0.0146923783287,1.06470307615
5,Fine,0.215,0.0146923783287,1.06062406778
5,Fine,0.2175,0.0146923783287,1.05679182272
5,Fine,0.22,0.020202020202,1.05322914783
