protocol,seed,candidate,baseline,layer,kind,metric,reference_delta,base_normalizer,relative_radius,absolute_radius,sufficient_radius,nominal_pass,certified_at_observed_radius
shorter,29,shorter/29/E,shorter/29/F,B,gain,bottom_current_NRMSE,0.0002044781564433005,0.5266209625484372,14.214051088722773,16.42506476834829,14.214051088722773,True,True
shorter,29,shorter/29/E,shorter/29/F,B,gain,power_trace_NRMSE,0.00014460125924934043,0.3648634681829053,14.64079196863828,16.853762115765782,14.64079196863828,True,True
shorter,29,shorter/29/E,shorter/29/F,B,noninferior,S,1.6718749999999986e-05,1.0,6.948256211534087,5.236280373831783,6.948256211534087,True,True
shorter,29,shorter/29/E,shorter/29/F,B,noninferior,Ephi,0.0003218319177540761,1.0,9.10485061118312,7.483799956946995,9.10485061118312,True,True
shorter,29,shorter/29/E,shorter/29/F,B,noninferior,ET,0.0003994401259507506,1.0,1.5317498287842066,0.8395568726877677,1.5317498287842066,True,True
shorter,29,shorter/29/E,shorter/29/F,B,noninferior,EV,5.49345479863641e-05,1.0,20.79270705871646,19.618912239900713,20.79270705871646,True,True
shorter,29,shorter/29/E,shorter/29/F,B,noninferior,EI,0.0002044781564433005,0.5266209625484372,17.451577349486094,16.427640205787494,17.451577349486094,True,True
shorter,29,shorter/29/E,shorter/B_E,A,gain,S,1.6718749999999986e-05,1.0,10.443679291687177,14.632878504672913,10.443679291687177,True,True
shorter,29,shorter/29/E,shorter/B_E,A,gain,Ephi,0.0003218319177540761,1.0,6.490414598010659,10.129691154058602,6.490414598010659,True,True
shorter,29,shorter/29/E,shorter/B_E,A,noninferior,ET,0.0003994401259507506,1.0,2.953494822046701,2.227450794682106,2.953494822046701,True,True
shorter,29,shorter/29/E,shorter/B_E,A,noninferior,EI,0.0002044781564433005,0.5266209625484372,13.933090617401797,12.992928684680008,13.933090617401797,True,True
shorter,29,shorter/29/E,shorter/B_E,A,noninferior,EV,5.49345479863641e-05,1.0,14.099662909977388,13.085226285179235,14.099662909977388,True,True
shorter,29,shorter/29/E,shorter/B_E,B,gain,bottom_current_NRMSE,0.0002044781564433005,0.5266209625484372,10.960112231230088,12.990353247239543,10.960112231230088,True,True
shorter,29,shorter/29/E,shorter/B_E,B,gain,power_trace_NRMSE,0.00014460125924934043,0.3648634681829053,11.217957155337844,13.240771619332792,11.217957155337844,True,True
shorter,29,shorter/29/E,shorter/B_E,B,noninferior,S,1.6718749999999986e-05,1.0,16.57465238203786,14.633476635514036,16.57465238203786,True,True
shorter,29,shorter/29/E,shorter/B_E,B,noninferior,Ephi,0.0003218319177540761,1.0,11.818458737600228,10.132798366068457,11.818458737600228,True,True
shorter,29,shorter/29/E,shorter/B_E,B,noninferior,ET,0.0003994401259507506,1.0,2.953494822046701,2.227450794682106,2.953494822046701,True,True
shorter,29,shorter/29/E,shorter/B_E,B,noninferior,EV,5.49345479863641e-05,1.0,14.099662909977388,13.085226285179235,14.099662909977388,True,True
shorter,29,shorter/29/E,shorter/B_E,B,noninferior,EI,0.0002044781564433005,0.5266209625484372,13.933090617401797,12.992928684680008,13.933090617401797,True,True
shorter,43,shorter/43/E,shorter/43/F,A,gain,S,1.6718749999999986e-05,1.0,0.13994097393016286,3.7146542056074856,0.13994097393016286,True,False
shorter,43,shorter/43/E,shorter/43/F,A,gain,Ephi,0.0003218319177540761,1.0,3.9374595068242924,7.368757503208136,3.9374595068242924,True,True
shorter,43,shorter/43/E,shorter/43/F,A,noninferior,ET,0.0003994401259507506,1.0,1.2435486775419726,0.5618383500101304,1.2435486775419726,True,True
shorter,43,shorter/43/E,shorter/43/F,A,noninferior,EI,0.0002044781564433005,0.5266209625484372,30.895245005875232,29.74264169522041,30.895245005875232,True,True
shorter,43,shorter/43/E,shorter/43/F,A,noninferior,EV,5.49345479863641e-05,1.0,33.159430084705015,31.902631789307975,33.159430084705015,True,True
shorter,43,shorter/43/E,shorter/43/F,B,gain,bottom_current_NRMSE,0.0002044781564433005,0.5266209625484372,27.25142555736009,29.740066257783358,27.25142555736009,True,True
shorter,43,shorter/43/E,shorter/43/F,B,gain,power_trace_NRMSE,0.00014460125924934043,0.3648634681829053,28.053886905786246,30.55423154623848,28.053886905786246,True,True
shorter,43,shorter/43/E,shorter/43/F,B,noninferior,S,1.6718749999999986e-05,1.0,5.371666286756341,3.7152523364486068,5.371666286756341,True,True
shorter,43,shorter/43/E,shorter/43/F,B,noninferior,Ephi,0.0003218319177540761,1.0,8.961144778612741,7.371864715217991,8.961144778612741,True,True
shorter,43,shorter/43/E,shorter/43/F,B,noninferior,ET,0.0003994401259507506,1.0,1.2435486775419726,0.5618383500101304,1.2435486775419726,True,True
shorter,43,shorter/43/E,shorter/43/F,B,noninferior,EV,5.49345479863641e-05,1.0,33.159430084705015,31.902631789307975,33.159430084705015,True,True
shorter,43,shorter/43/E,shorter/43/F,B,noninferior,EI,0.0002044781564433005,0.5266209625484372,30.895245005875232,29.74264169522041,30.895245005875232,True,True
shorter,43,shorter/43/E,shorter/B_E,A,gain,S,1.6718749999999986e-05,1.0,10.84210526315792,15.011383177570117,10.84210526315792,True,True
shorter,43,shorter/43/E,shorter/B_E,A,gain,Ephi,0.0003218319177540761,1.0,7.1170772205198265,10.72502064544231,7.1170772205198265,True,True
shorter,43,shorter/43/E,shorter/B_E,A,noninferior,ET,0.0003994401259507506,1.0,3.0276749432520034,2.303485418917541,3.0276749432520034,True,True
shorter,43,shorter/43/E,shorter/B_E,A,noninferior,EI,0.0002044781564433005,0.5266209625484372,17.855026353625867,17.012910804318622,17.855026353625867,True,True
shorter,43,shorter/43/E,shorter/B_E,A,noninferior,EV,5.49345479863641e-05,1.0,18.431651695135653,17.525514789966454,18.431651695135653,True,True
shorter,43,shorter/43/E,shorter/B_E,B,gain,bottom_current_NRMSE,0.0002044781564433005,0.5266209625484372,15.191674472948138,17.010335366880632,15.191674472948138,True,True
shorter,43,shorter/43/E,shorter/B_E,B,gain,power_trace_NRMSE,0.00014460125924934043,0.3648634681829053,15.554920709589378,17.36088493581509,15.554920709589378,True,True
shorter,43,shorter/43/E,shorter/B_E,B,noninferior,S,1.6718749999999986e-05,1.0,16.94392523364489,15.011981308411242,16.94392523364489,True,True
shorter,43,shorter/43/E,shorter/B_E,B,noninferior,Ephi,0.0003218319177540761,1.0,12.399267997486772,10.728127857452165,12.399267997486772,True,True
shorter,43,shorter/43/E,shorter/B_E,B,noninferior,ET,0.0003994401259507506,1.0,3.0276749432520034,2.303485418917541,3.0276749432520034,True,True
shorter,43,shorter/43/E,shorter/B_E,B,noninferior,EV,5.49345479863641e-05,1.0,18.431651695135653,17.525514789966454,18.431651695135653,True,True
shorter,43,shorter/43/E,shorter/B_E,B,noninferior,EI,0.0002044781564433005,0.5266209625484372,17.855026353625867,17.012910804318622,17.855026353625867,True,True
