time,nominal_roi_phase,joule_off_roi_phase,nominal_roi_temperature_max,joule_off_roi_temperature_max
1.395,0.735537190083,0,0.743012115399,0.000660632998452
1.4,0.747933884298,0,0.731677846381,0.000655886993827
1.405,0.768595041322,0,0.720384916456,0.000651167629365
1.41,0.785123966942,0,0.709179749472,0.000646474877415
1.415,0.799586776859,0,0.698106216588,0.000641808707829
1.42,0.807851239669,0,0.687204406923,0.000637169088015
1.425,0.820247933884,0,0.676509675293,0.000632555982997
1.43,0.826446280992,0,0.666051995265,0.000627969355467
1.435,0.845041322314,0,0.655855617308,0.000623409165846
1.44,0.847107438017,0,0.64593900834,0.00061887537233
1.445,0.855371900826,0,0.636884620375,0.000614367930947
1.45,0.859504132231,0,0.629422328532,0.000609886795607
1.455,0.867768595041,0,0.622106694155,0.000605431918156
1.46,0.873966942149,0,0.614931156761,0.000601003248423
1.465,0.876033057851,0,0.607889916945,0.000596600734269
1.47,0.878099173554,0,0.60097780355,0.000592224321638
1.475,0.878099173554,0,0.59419016376,0.000587873954604
1.48,0.880165289256,0,0.587597263014,0.000583549575415
1.485,0.882231404959,0,0.581129167146,0.000579251124542
1.49,0.886363636364,0,0.574768820784,0.000574978540726
1.495,0.888429752066,0,0.568513353679,0.000570731761016
1.5,0.890495867769,0,0.56236003766,0.000566510720818
1.505,0.890495867769,0,0.556306263427,0.000562315353937
1.51,0.892561983471,0,0.550349521992,0.00055814559262
1.515,0.892561983471,0,0.54448738997,0.000554001367592
1.52,0.892561983471,0,0.538749080605,0.000549882608107
1.525,0.892561983471,0,0.533143806294,0.000545789241977
1.53,0.892561983471,0,0.527623883049,0.000541721195619
1.535,0.892561983471,0,0.522187171935,0.00053767839409
1.54,0.892561983471,0,0.516831580054,0.000533660761128
1.545,0.892561983471,0,0.511555059659,0.000529668219186
1.55,0.892561983471,0,0.506355607828,0.000525700689471
1.555,0.892561983471,0,0.50123126652,0.000521758091979
1.56,0.892561983471,0,0.496180122874,0.000517840345532
1.565,0.892561983471,0,0.491201464075,0.000513947367809
1.57,0.892561983471,0,0.486350192308,0.000510079075385
1.575,0.892561983471,0,0.481564623232,0.000506235383763
1.58,0.892561983471,0,0.476843161063,0.000502416207403
1.585,0.892561983471,0,0.47223597854,0.000498621459762
1.59,0.892561983471,0,0.467711894221,0.000494851053319
1.595,0.892561983471,0,0.463244226829,0.000491104899609
1.6,0.892561983471,0,0.458831621312,0.000487382909254
1.605,0.892561983471,0,0.454472766227,0.000483684991993
1.61,0.890495867769,0,0.450166393157,0.000480011056711
1.615,0.890495867769,0,0.445912515589,0.000476361011468
1.62,0.890495867769,0,0.441777124265,0.000472734763527
1.625,0.890495867769,0,0.437687430292,0.000469132219385
1.63,0.890495867769,0,0.433642441044,0.000465553284797
1.635,0.888429752066,0,0.429641202193,0.000461997864804
1.64,0.888429752066,0,0.42568861438,0.000458465863761
1.645,0.884297520661,0,0.421834184235,0.000454957185361
1.65,0.884297520661,0,0.418017824095,0.000451471732661
1.655,0.884297520661,0,0.414238842472,0.000448009408108
1.66,0.882231404959,0,0.410548944408,0.000444570113563
1.665,0.880165289256,0,0.406895539797,0.000441153750324
1.67,0.878099173554,0,0.403330135597,0.000437760219151
1.675,0.878099173554,0,0.399795622191,0.000434389420291
1.68,0.878099173554,0,0.39629714425,0.000431041253496
1.685,0.876033057851,0,0.392867965933,0.00042771561805
1.69,0.876033057851,0,0.389466268291,0.000424412412787
1.695,0.869834710744,0,0.386123433027,0.000421131536115
1.7,0.867768595041,0,0.382816062599,0.000417872886039
1.705,0.859504132231,0,0.379554193991,0.000414636360175
1.71,0.859504132231,0,0.376325183212,0.000411421855778
1.715,0.857438016529,0,0.37311909925,0.000408229269757
1.72,0.857438016529,0,0.369935906171,0.000405058498696
1.725,0.857438016529,0,0.366811263539,0.000401909438872
1.73,0.857438016529,0,0.363724205749,0.000398781986277
1.735,0.857438016529,0,0.360658663767,0.000395676036631
1.74,0.857438016529,0,0.357614629337,0.000392591485406
1.745,0.857438016529,0,0.354592088639,0.000389528227839
1.75,0.855371900826,0,0.351591022688,0.000386486158951
1.755,0.855371900826,0,0.3486114077,0.000383465173565
1.76,0.855371900826,0,0.345653215457,0.000380465166321
1.765,0.855371900826,0,0.342736380849,0.000377486031692
1.77,0.855371900826,0,0.339865209203,0.000374527664003
1.775,0.855371900826,0,0.337014310203,0.000371589957441
1.78,0.855371900826,0,0.334183668762,0.000368673280665
1.785,0.855371900826,0,0.331373265143,0.000365778203089
1.79,0.855371900826,0,0.328583075281,0.000362903439549
1.795,0.855371900826,0,0.325813071081,0.000360048884157
1.8,0.855371900826,0,0.323063220703,0.000357214430966
1.805,0.855371900826,0,0.320353215799,0.000354399973975
1.81,0.853305785124,0,0.317681870772,0.000351605407152
1.815,0.853305785124,0,0.31502968759,0.000348830624443
1.82,0.851239669421,0,0.31239664141,0.000346075519782
1.825,0.851239669421,0,0.309782703751,0.000343339987108
1.83,0.849173553719,0,0.307187842723,0.000340623920376
1.835,0.849173553719,0,0.304612023232,0.000337927213569
1.84,0.842975206612,0,0.302055207181,0.000335249760708
1.845,0.842975206612,0,0.299535265572,0.000332591455867
1.85,0.842975206612,0,0.297049019036,0.000329952193181
1.855,0.842975206612,0,0.294580914514,0.000327331866858
1.86,0.840909090909,0,0.292130917862,0.00032473037119
1.865,0.840909090909,0,0.289698992109,0.000322147600565
1.87,0.838842975207,0,0.287285097611,0.000319583449475
1.875,0.836776859504,0,0.28488919219,0.000317037812526
1.88,0.836776859504,0,0.282511231272,0.00031451058445
1.885,0.836776859504,0,0.280152494501,0.000312001660113
1.89,0.836776859504,0,0.277837853228,0.000309510934524
1.895,0.834710743802,0,0.275540408204,0.000307038302845
1.9,0.832644628099,0,0.273260116983,0.0003045836604
1.905,0.832644628099,0,0.270996934902,0.000302146902685
1.91,0.832644628099,0,0.268750815194,0.000299727925371
1.915,0.832644628099,0,0.26652170908,0.00029732662432
1.92,0.832644628099,0,0.264309565867,0.000294942895588
1.925,0.832644628099,0,0.262114333026,0.000292576635435
1.93,0.832644628099,0,0.259935956281,0.000290227740331
