reference,protocol,seed,role,region,measure,FN,FP,reference_active_mass,predicted_active_mass,conditional_RMS
old,shorter,29,F,full_history/near_threshold,0.00125390625,0.00021648437499999926,0.00030015625000000105,0.0006003124999999998,0.0006839843749999998,0.11656235870766733
old,shorter,29,F,full_history/outside_threshold,0.9987460937499946,0.00027296874999999956,0.00047164062500000114,0.005290468750000002,0.005489140624999994,0.01244162553248032
old,shorter,29,F,heating_windows/near_threshold,0.00026937500000000003,5.226562499999991e-05,6.054687500000009e-05,0.00013015624999999982,0.00013843750000000005,0.1285856081689721
old,shorter,29,F,heating_windows/outside_threshold,0.2802306249999986,0.00010039062500000004,0.00015023437499999998,0.0014771875000000004,0.0015270312500000008,0.01698417471075972
old,shorter,43,E,full_history/near_threshold,0.00125390625,0.00019367187499999937,0.0003114843750000013,0.0006003124999999998,0.0007181250000000017,0.09674007290424456
old,shorter,43,E,full_history/outside_threshold,0.9987460937499946,0.00014992187499999985,0.00041843750000000073,0.005290468750000002,0.0055589843749999975,0.009657773870150585
old,shorter,43,E,heating_windows/near_threshold,0.00026937500000000003,5.781249999999993e-05,5.4609374999999984e-05,0.00013015624999999982,0.00012695312499999992,0.1041581437413869
old,shorter,43,E,heating_windows/outside_threshold,0.2802306249999986,6.054687499999993e-05,8.242187500000004e-05,0.0014771875000000004,0.0014990625000000008,0.010470579415902315
old,shorter,43,F,full_history/near_threshold,0.00125390625,0.0002355468749999993,0.0002600781250000005,0.0006003124999999998,0.0006248437500000005,0.1104362864134447
old,shorter,43,F,full_history/outside_threshold,0.9987460937499946,0.0003043749999999995,0.00039773437500000133,0.005290468750000002,0.005383828124999995,0.012248782571109458
old,shorter,43,F,heating_windows/near_threshold,0.00026937500000000003,7.421874999999993e-05,4.101562499999998e-05,0.00013015624999999982,9.695312499999987e-05,0.15836045720501127
old,shorter,43,F,heating_windows/outside_threshold,0.2802306249999986,0.00018359374999999997,0.00014148437499999976,0.0014771875000000004,0.001435078125,0.018387616871165916
refined,original,29,E,full_history/near_threshold,0.0011393749999999991,0.0001511718749999999,0.00030117187499999963,0.000548749999999999,0.0006987499999999998,0.09239271325089408
refined,original,29,E,full_history/outside_threshold,0.998860624999994,0.00010531249999999999,0.0004686718750000005,0.0045949999999999975,0.0049583593750000005,0.01058108075681646
refined,original,29,E,heating_windows/near_threshold,0.00022625000000000002,3.8359374999999955e-05,5.187499999999997e-05,0.00010999999999999999,0.000123515625,0.10568472400484862
refined,original,29,E,heating_windows/outside_threshold,0.2802737499999987,4.8437500000000005e-05,7.734374999999993e-05,0.0012034375000000003,0.0012323437500000004,0.010289074600234809
refined,original,29,F,full_history/near_threshold,0.0011393749999999991,0.00019828124999999954,0.0002750000000000003,0.000548749999999999,0.0006254687500000004,0.10699842027773751
refined,original,29,F,full_history/outside_threshold,0.998860624999994,0.0002201562499999998,0.0005271875000000003,0.0045949999999999975,0.004902031249999996,0.012676028576963306
refined,original,29,F,heating_windows/near_threshold,0.00022625000000000002,5.601562500000001e-05,3.882812500000001e-05,0.00010999999999999999,9.281249999999999e-05,0.1313181804030656
refined,original,29,F,heating_windows/outside_threshold,0.2802737499999987,0.00011031250000000003,7.874999999999996e-05,0.0012034375000000003,0.0011718750000000008,0.013455991084526013
refined,original,43,E,full_history/near_threshold,0.0011393749999999991,0.00019781249999999926,0.0002765625,0.000548749999999999,0.0006274999999999995,0.11046479267693024
refined,original,43,E,full_history/outside_threshold,0.998860624999994,0.00023078124999999984,0.0004232031250000003,0.0045949999999999975,0.004787421874999994,0.011311759720932197
refined,original,43,E,heating_windows/near_threshold,0.00022625000000000002,4.593749999999995e-05,4.5e-05,0.00010999999999999999,0.00010906249999999999,0.13229486533980994
refined,original,43,E,heating_windows/outside_threshold,0.2802737499999987,9.656250000000004e-05,0.00011039062499999995,0.0012034375000000003,0.0012172656250000002,0.014574961486667945
refined,original,43,F,full_history/near_threshold,0.0011393749999999991,0.00023085937499999935,0.0002459374999999994,0.000548749999999999,0.0005638281250000003,0.11555225246119603
refined,original,43,F,full_history/outside_threshold,0.998860624999994,0.00028453125000000033,0.00048773437500000113,0.0045949999999999975,0.004798203124999998,0.012901115178857211
refined,original,43,F,heating_windows/near_threshold,0.00022625000000000002,6.249999999999999e-05,3.7812499999999964e-05,0.00010999999999999999,8.531249999999998e-05,0.1412570826075363
refined,original,43,F,heating_windows/outside_threshold,0.2802737499999987,0.00011265624999999992,0.0001917187499999999,0.0012034375000000003,0.0012825000000000007,0.01931703916077812
refined,shorter,29,E,full_history/near_threshold,0.0012548437499999997,0.00019093749999999943,0.00031773437500000036,0.00059953125,0.0007263281250000002,0.10254434131138689
refined,shorter,29,E,full_history/outside_threshold,0.9987451562499953,0.00018312499999999978,0.00039046875000000024,0.0052929687500000025,0.005500312499999999,0.009797205557688581
