Reference,Candidate,Baseline,Comparison scope,Metric,Candidate error,Baseline error,Signed error difference,Difference in percentage points,Relative error reduction %
refined,original/43/E,original/B_E,historical available-data baseline,local_joule_NRMSE,0.07909094342969357,0.09640622759371782,-0.017315284164024253,-1.7315284164024254,17.960752739953264
refined,shorter/29/E,shorter/29/F,historical matched method,S,0.001082265625,0.0012585937500000002,-0.00017632812500000027,,14.009931719428945
refined,shorter/29/E,shorter/29/F,historical matched method,Ephi,0.018985544417578576,0.023830201907113074,-0.0048446574895344985,,20.329905337849517
refined,shorter/29/E,shorter/29/F,historical matched method,ET,0.011058679432145979,0.011745700496220432,-0.0006870210640744535,-0.06870210640744535,5.849128064311918
refined,shorter/29/E,shorter/29/F,historical matched method,EV,0.001588242723186819,0.003741229158240637,-0.0021529864350538185,,57.547569100693345
refined,shorter/29/E,shorter/29/F,historical matched method,EI,0.010094377330916192,0.02284658276942876,-0.012752205438512569,-1.275220543851257,55.816686316766905
refined,shorter/29/E,shorter/29/F,historical matched method,bottom_current_NRMSE,0.010094377330918839,0.022846582769430086,-0.012752205438511247,-1.2752205438511248,55.81668631675789
refined,shorter/29/E,shorter/29/F,historical matched method,power_trace_NRMSE,0.010169127395583616,0.023513727210381478,-0.013344599814797862,-1.3344599814797862,56.75237998383398
refined,shorter/29/E,shorter/29/F,historical matched method,energy_error,0.0031642290476377893,0.007355638760865776,-0.004191409713227987,-0.4191409713227987,56.9822669314262
refined,shorter/29/E,shorter/29/F,historical matched method,local_joule_NRMSE,0.05650492306594186,0.11304663409087722,-0.056541711024935354,-5.654171102493535,50.01627114300631
refined,shorter/29/E,shorter/B_E,historical available-data baseline,S,0.001082265625,0.00157453125,-0.0004922656250000001,,31.26426515828124
refined,shorter/29/E,shorter/B_E,historical available-data baseline,Ephi,0.018985544417578576,0.025504228959598335,-0.006518684542019759,,25.559230009839204
refined,shorter/29/E,shorter/B_E,historical available-data baseline,ET,0.011058679432145979,0.01291774799709429,-0.0018590685649483105,-0.18590685649483105,14.391584085449633
refined,shorter/29/E,shorter/B_E,historical available-data baseline,EV,0.001588242723186819,0.0029573788575261973,-0.0013691361343393783,,46.295594859450645
refined,shorter/29/E,shorter/B_E,historical available-data baseline,EI,0.010094377330916192,0.019691426256249034,-0.009597048925332842,-0.9597048925332842,48.7371955715358
refined,shorter/29/E,shorter/B_E,historical available-data baseline,bottom_current_NRMSE,0.010094377330918839,0.019691426256249388,-0.009597048925330549,-0.9597048925330549,48.73719557152328
refined,shorter/29/E,shorter/B_E,historical available-data baseline,power_trace_NRMSE,0.010169127395583616,0.020142086809430332,-0.009972959413846716,-0.9972959413846716,49.513039578289735
refined,shorter/29/E,shorter/B_E,historical available-data baseline,energy_error,0.0031642290476377893,0.01477629511692948,-0.011612066069291691,-1.161206606929169,78.58577523933944
refined,shorter/29/E,shorter/B_E,historical available-data baseline,local_joule_NRMSE,0.05650492306594186,0.11229127154546015,-0.055786348479518286,-5.578634847951829,49.680039874634126
refined,shorter/29/E_C,shorter/29/E,continued optimization,S,0.000981328125,0.001082265625,-0.0001009374999999999,,9.326499675160607
refined,shorter/29/E_C,shorter/29/E,continued optimization,Ephi,0.017533513554061277,0.018985544417578576,-0.0014520308635172993,,7.648086520884145
refined,shorter/29/E_C,shorter/29/E,continued optimization,ET,0.01045555243676333,0.011058679432145979,-0.0006031269953826485,-0.060312699538264854,5.453879001406314
refined,shorter/29/E_C,shorter/29/E,continued optimization,EV,0.001536596694286078,0.001588242723186819,-5.1646028900740985e-05,,3.2517717944970594
refined,shorter/29/E_C,shorter/29/E,continued optimization,EI,0.009866780999710606,0.010094377330916192,-0.00022759633120558558,-0.022759633120558558,2.254684204329504
refined,shorter/29/E_C,shorter/29/E,continued optimization,bottom_current_NRMSE,0.009866780999711276,0.010094377330918839,-0.00022759633120756316,-0.022759633120756316,2.2546842043485036
refined,shorter/29/E_C,shorter/29/E,continued optimization,power_trace_NRMSE,0.009968737724606467,0.010169127395583616,-0.0002003896709771493,-0.02003896709771493,1.9705689896674634
refined,shorter/29/E_C,shorter/29/E,continued optimization,energy_error,0.005126419117121799,0.0031642290476377893,0.00196219006948401,0.196219006948401,-62.0116318996836
refined,shorter/29/E_C,shorter/29/E,continued optimization,local_joule_NRMSE,0.05568871238263938,0.05650492306594186,-0.0008162106833024818,-0.08162106833024818,1.4444948139296732
refined,shorter/29/E_R,shorter/29/E_C,matched phase-head development,S,0.0010056250000000002,0.000981328125,2.429687500000023e-05,,-2.475917522490271
refined,shorter/29/E_R,shorter/29/E_C,matched phase-head development,Ephi,0.017700935047563017,0.017533513554061277,0.0001674214935017404,,-0.9548656233990287
refined,shorter/29/E_R,shorter/29/E_C,matched phase-head development,ET,0.010498835817490228,0.01045555243676333,4.328338072689779e-05,0.004328338072689779,-0.4139750719886093
refined,shorter/29/E_R,shorter/29/E_C,matched phase-head development,EV,0.0014647872142442755,0.001536596694286078,-7.180948004180247e-05,,4.67328091416766
refined,shorter/29/E_R,shorter/29/E_C,matched phase-head development,EI,0.00951525379857381,0.009866780999710606,-0.0003515272011367955,-0.03515272011367955,3.562734402913228
